id,commision_id/id,rama_id/id,code,name
0101011311001,A01,A0101011311,0101011311001,"MAQUINISTAS, CLASIFICADORES, VIBRADORA, SECADORES, MONTACARGUIST"
0101011311002,A01,A0101011311,0101011311002,MAYORDOMO
0101011311031,A01,A0101011312,0101011311031,TRABAJADOR  FITOSANITARIO
0101011311032,A01,A0101011312,0101011311032,"TRABAJADOR DEL AGRO: SEMILLERO, SEMBRADOR, COSECHADOR, RECOGEDOR"
0101020010006,A01,A0101020010,0101020010006,JEFE FORESTAL
0101020010008,A01,A0101020010,0101020010008,JEFE DE OPERACIÓN
0101020010011,A01,A0101020010,0101020010011,JEFE MANTENIMIENTO
0101020010012,A01,A0101020010,0101020010012,OPERADOR DE MÁQUINA
0101020010013,A01,A0101020010,0101020010013,JEFE DE CAMPO
0101020010015,A01,A0101020010,0101020010015,VIVERISTA AGROFORESTAL
0101020010016,A01,A0101020010,0101020010016,OPERADOR DE MOTOSIERRA
0101020010023,A01,A0101020010,0101020010023,JEFE DE CAMPAMENTO
0101020010024,A01,A0101020010,0101020010024,AUXILIAR DE MANTENIMIENTO
0101020010025,A01,A0101020010,0101020010025,TRABAJADOR DEL AGRO
0101020010026,A01,A0101020010,0101020010026,MATERO
0101020010027,A01,A0101020010,0101020010027,AUXILIAR DE OPERADOR
0109630100001,A01,A0109630100,0109630100001,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100002,A01,A0109630100,0109630100002,PARADA
0109630100003,A01,A0109630100,0109630100003,CERNIDA
0109630100004,A01,A0109630100,0109630100004,COLOCACION DE UN SACO VACIO A OTRO LLENO
0109630100005,A01,A0109630100,0109630100005,LINGADA A BORDO
0109630100006,A01,A0109630100,0109630100006,SACADA Y GUARDADA A LA MANTA PARA ASOLEO O REVUELTA
0109630100007,A01,A0109630100,0109630100007,PESADA O VACIADA EN UNA BODEGA O PATIO  EN EL MISMO DIA
0109630100008,A01,A0109630100,0109630100008,PASADA DE UNA BODEGA A OTRA AL GRANEL
0109630100009,A01,A0109630100,0109630100009,"LLENADA PARA INVENTARIO, ASOLEO O PARADA"
0109630100010,A01,A0109630100,0109630100010,VACIADA DE UN SACO A OTRO
0109630100011,A01,A0109630100,0109630100011,PALEADA ABIERTA
0109630100012,A01,A0109630100,0109630100012,PALEADA CERRADA
0109630100013,A01,A0109630100,0109630100013,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100014,A01,A0109630100,0109630100014,PESADA Y VACIADA EN BODEGA A PATIO EN EL MISMO DIA
0109630100015,A01,A0109630100,0109630100015,CONDUCCION A LA DESMONTADORA Y VACIADA
0109630100016,A01,A0109630100,0109630100016,"LLENADA PARA INVENTARIOS, ASOLEO O PARADA"
0109630100017,A01,A0109630100,0109630100017,CATADA DE GRANZAS
0109630100018,A01,A0109630100,0109630100018,CATADA DE TIERRA DE CACAO NEGRO
0109630100019,A01,A0109630100,0109630100019,MAQUINADA DE GRANZAS
0109630100020,A01,A0109630100,0109630100020,CATADA DE CACAO BUENO (CLASIFICACION DE GRANOS)
0109630100021,A01,A0109630100,0109630100021,REMAQUINADA DE CACAO
0109630100022,A01,A0109630100,0109630100022,MAQUINADA DE CACAO CADA QUINTAL
0109630100023,A01,A0109630100,0109630100023,CATADA DE CACAO NEGRO (CLASIFICACION DE GRANOS)
0109630100024,A01,A0109630100,0109630100024,MAQUINADA DE CACAO BUENO NEGRO
0109630100025,A01,A0109630100,0109630100025,MAQUINADA DE PELOTAS
0109630100026,A01,A0109630100,0109630100026,MAQUINADA DE TIERRA DE ASOLEO
0109630100027,A01,A0109630100,0109630100027,GUARDADA DE ASOLEO (DOS DÍAS)
0109630100028,A01,A0109630100,0109630100028,LAVADA (UN DÍA)
0109630100030,A01,A0109630100,0109630100030,ENCHAROLADA SOLA
0109630100031,A01,A0109630100,0109630100031,SARANDEO DE CACAO NEGRO
0109630100032,A01,A0109630100,0109630100032,DESPELOTADA DE CACAO NEGRO O DESPICADO (DESMAGUEYADA)
0109630100033,A01,A0109630100,0109630100033,"ASOLEO EN TERRAZAS A FUERZA DE SANGRE QUE COMPRENDE SUBIDA, ASOL"
0109630100034,A01,A0109630100,0109630100034,"ESCOGIDA DE CACAO (TRABAJO DE MUJERES), CADA LIBRA"
0109630100035,A01,A0109630100,0109630100035,VACIADA A LA TOLVA POR MAQUINISTA
0109630100036,A01,A0109630100,0109630100036,SARANDEO DE CACAO BUENO
0109630100037,A01,A0109630100,0109630100037,VACIADA A LA TOLVA POR LA CUADRILLA
0109630100038,A01,A0109630100,0109630100038,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100039,A01,A0109630100,0109630100039,"ASOLEO EN TERRAZA QUE COMPRENDE SUBIDA  MECANIZADA, ASOLEO, GUAR"
0109630100040,A01,A0109630100,0109630100040,DESPICADO DE PELOTAS CON CACAO BUENO; INCLUYE PODA SANITARIA
0109630100041,A01,A0109630100,0109630100041,CERNIDA
0109630100042,A01,A0109630100,0109630100042,REPRESADA POR CADA QUINTAL
0109630100043,A01,A0109630100,0109630100043,PARADA MECANIZADA
0109630100044,A01,A0109630100,0109630100044,VACIADA A LA TOLVA (INCLUYE VACIADA CON DESCOSIDA DEL CAMION DIR
0109630100045,A01,A0109630100,0109630100045,PARADA
0109630100046,A01,A0109630100,0109630100046,PESADA Y VACIADA EN BODEGA O PATIO EN EL MISMO DIA
0109630100047,A01,A0109630100,0109630100047,REVUELTA
0109630100048,A01,A0109630100,0109630100048,SACADA DE LA BODEGA A LA MANTA PARA ASOLEO EN LA CALLE
0109630100049,A01,A0109630100,0109630100049,VACIADA DE CACAO ENSACADO A LA TOLVA
0109630100050,A01,A0109630100,0109630100050,PESADA CON SACADO AL TENDAL
0109630100051,A01,A0109630100,0109630100051,PASADA DE UNA BODEGA A OTRA SIN PESADA
0109630100052,A01,A0109630100,0109630100052,PESADA Y VACIADA DE OTRAS CUADRILLAS
0109630100053,A01,A0109630100,0109630100053,COLOCACION DE UN SACO LLENO A OTRO VACIO
0109630100054,A01,A0109630100,0109630100054,VACIADA DE UN SACO A OTRO
0109630100055,A01,A0109630100,0109630100055,"LLENADA PARA INVENTARIO, ASOLEO O PARADA"
0109630100056,A01,A0109630100,0109630100056,PALEADA ABIERTA
0109630100057,A01,A0109630100,0109630100057,PALEADA CERRADA
0109630100058,A01,A0109630100,0109630100058,PARADA DE MONTON
0109630100059,A01,A0109630100,0109630100059,GUARDADA DE ASOLEO (UN DÍA)
0109630100060,A01,A0109630100,0109630100060,LAVADA (DOS DÍAS)
0109630100061,A01,A0109630100,0109630100061,TRAIDA Y PESADA DE PILADORA
0109630100062,A01,A0109630100,0109630100062,"ESCOGIDA DE CAFE (TRABAJO DE MUJER), POR LIBRA"
0109630100063,A01,A0109630100,0109630100063,ASOLEO EN TERRAZAS A FUERZA DE SANGRE  QUE COMPRENDE SUBIDA Y GU
0109630100064,A01,A0109630100,0109630100064,PESADA Y VACIADA DE TRAIDA DE OTRAS CUADRILLAS
0109630100065,A01,A0109630100,0109630100065,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100066,A01,A0109630100,0109630100066,CERNIDA
0109630100067,A01,A0109630100,0109630100067,REPARADA
0109630100068,A01,A0109630100,0109630100068,PARADA
0109630100069,A01,A0109630100,0109630100069,PARADA DE MONTON
0109630100070,A01,A0109630100,0109630100070,PASADA SOLA DE TRAIDA DE OTRAS CUADRILLAS
0109630100071,A01,A0109630100,0109630100071,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DIA
0109630100072,A01,A0109630100,0109630100072,REVUELTA DE LA BODEGA A LA MANTA
0109630100073,A01,A0109630100,0109630100073,SACADA DE LA BODEGA A LA MANTA PARA EL  ASOLEO EN LA CALLE
0109630100074,A01,A0109630100,0109630100074,"LLENADA PARA INVENTARIO, ASOLEO O PARADA"
0109630100075,A01,A0109630100,0109630100075,PASADA DE UNA BODEGA A OTRA SIN PESADA  AL GRANEL
0109630100076,A01,A0109630100,0109630100076,PALEADA ABIERTA
0109630100077,A01,A0109630100,0109630100077,VACIADA DE UN SACO A OTRO
0109630100078,A01,A0109630100,0109630100078,LIMPIADA
0109630100079,A01,A0109630100,0109630100079,CLASIFICACION
0109630100080,A01,A0109630100,0109630100080,SACADA O GUARDADA PARA ASOLEO
0109630100081,A01,A0109630100,0109630100081,LINGADA A BORDO
0109630100082,A01,A0109630100,0109630100082,PESADA Y VACIADA EN BODEGA O PATIO EN EL MISMO DIA
0109630100083,A01,A0109630100,0109630100083,"CATADA DE RESIDUO, ETC."
0109630100084,A01,A0109630100,0109630100084,MAQUINADA DE CAFE
0109630100085,A01,A0109630100,0109630100085,REMAQUINADA
0109630100086,A01,A0109630100,0109630100086,CATADA DE CAFE
0109630100087,A01,A0109630100,0109630100087,VACIADA A LA TOLVA (INCLUYE VACIADA CON DESCOSIDA DEL CAMION DIR
0109630100088,A01,A0109630100,0109630100088,"VACIADA DE CAFE, ENSACADA A LA TOLVA"
0109630100089,A01,A0109630100,0109630100089,POR LOS DOS LADOS
0109630100090,A01,A0109630100,0109630100090,"COSIDA O DESCOSIDA DE SACOS DE CAFE, CACAO Y ACHIOTE A MANO O CO"
0109630100091,A01,A0109630100,0109630100091,POR UN LADO
0109630100092,A01,A0109630100,0109630100092,REMARCADA
0109630100093,A01,A0109630100,0109630100093,SEÑALEROS EL CIENTO
0109630100094,A01,A0109630100,0109630100094,LIMPIADORA O SANEADORA (LIMPIADA O SANEADA DE SACOS) DE EMPAQUE 
0109630100095,A01,A0109630100,0109630100095,ESCOGEDORAS PARA TODA LABOR
0109630100096,A01,A0109630100,0109630100096,IZADA O ARREGLADA DE MANTAS O TOLDOS PARA SOMBRA DE CADA UNA
0109630100097,A01,A0109630100,0109630100097,SACADA O GUARDADA DE MANTAS CUANDO NO HAYA ASOLEO
0109630100100,A01,A0109630100,0109630100100,MANTEROS HASTA 50 SACOS
0109630100101,A01,A0109630100,0109630100101,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100102,A01,A0109630100,0109630100102,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DIA
0109630100103,A01,A0109630100,0109630100103,SACADA O GUARDADA DE UNA BODEGA A LA MANTA PARA ASOLEO O REVUELT
0109630100104,A01,A0109630100,0109630100104,PASADA DE UNA BODEGA A OTRA SIN PESADA  AL GRANEL
0109630100105,A01,A0109630100,0109630100105,VACIADA DE UN SACO A OTRO
0109630100106,A01,A0109630100,0109630100106,TRAIDA O PASADA DE UNA OFICINA A OTRA
0109630100107,A01,A0109630100,0109630100107,PARADA
0109630100108,A01,A0109630100,0109630100108,LINGADA A BORDO
0109630100109,A01,A0109630100,0109630100109,PESADA O VACIADA EN BODEGA O PATIO EN EL MISMO DIA
0109630100110,A01,A0109630100,0109630100110,SACADA PARA ASOLEO O REVUELTA AL TENDAL
0109630100111,A01,A0109630100,0109630100111,VACIADA DE UN SACO A OTRO
0120000000001,A01,A0120000000,0120000000001,TRABAJADOR DEL AGRO: INCLUYE LABORES CULTURALES
0120000000002,A01,A0120000000,0120000000002,DESHIJE: ESCOGER CUAL SERA LA SIGUIENTE PLANTA DENTRO DEL CULTIV
0120000000003,A01,A0120000000,0120000000003,TRABAJADOR DEL AGRO: TODAS LAS LABORES INHERENTES A LOS TEMAS DE
0204151101001,A02,A0204151101,0204151101001,SUPERVISOR DE PRODUCCIÓN / MANTENIMIENTO
0204151101002,A02,A0204151101,0204151101002,TECNICO DE PRODUCCIÓN / MANTENIMIENTO
0204151101003,A02,A0204151101,0204151101003,OPERADOR ESPECIAL
0204151101006,A02,A0204151101,0204151101006,AUXILIAR DE PRODUCCION / MANTENIMIENTO
0204151101007,A02,A0204151101,0204151101007,GALPONERO DE GRANJA
0220000000001,A02,A0220000000,0220000000001,CLASIFICADOR DE HUEVOS
0220000000002,A02,A0220000000,0220000000002,AUXILIAR DE LACTEOS
0220000000003,A02,A0220000000,0220000000003,AUXILIAR/ AYUDANTE / ASISTENTE DE GANADERÍA
0220000000004,A02,A0220000000,0220000000004,OPERATIVO DE PLANTA
0302050000001,A03,A0302050000,0302050000001,"CAPITAN ( DE PESCA, PATRON DE ALTURA DE PESCA, PATRON COSTANERO "
0302050000002,A03,A0302050000,0302050000002,EL PESCA (RESPONSABLE DE LAS LABORES TECNICAS DE PESCA)
0302050000003,A03,A0302050000,0302050000003,JEFE DE CUBIERTA
0302050000004,A03,A0302050000,0302050000004,JEFE DE MÁQUINA
0302050000005,A03,A0302050000,0302050000005,MAQUINISTA
0302050000006,A03,A0302050000,0302050000006,AYUDANTE DE MAQUINISTA
0302050000007,A03,A0302050000,0302050000007,TRIPULANTE
0302050000008,A03,A0302050000,0302050000008,CAPITAN (PATRON COSTANERO SIN LABORES DE TECNICO PESQUERO)
0302050000009,A03,A0302050000,0302050000009,PESCA
0302050000010,A03,A0302050000,0302050000010,MAQUINISTA (ACEITERO MOTORIZADO)
0302050000011,A03,A0302050000,0302050000011,TRIPULANTE
0302050000012,A03,A0302050000,0302050000012,CAPITAN (PATRON COSTANERO SIN LABORES DE TECNICO PESQUERO)
0302050000013,A03,A0302050000,0302050000013,PESCA
0302050000014,A03,A0302050000,0302050000014,MAQUINISTA
0302050000015,A03,A0302050000,0302050000015,JEFE DE CUBIERTA
0302050000016,A03,A0302050000,0302050000016,JEFE DE MÁQUINA
0302050000017,A03,A0302050000,0302050000017,AYUDANTE DE MAQUINISTA
0302050000018,A03,A0302050000,0302050000018,"TRIPULANTES: PANGUERO, COCINERO Y DEMAS PESCADORES"
0302050003028,A03,A0302050003,0302050003028,JEFES ACUACULTORES O ACUICOLAS
0302050003029,A03,A0302050003,0302050003029,BIOLOGO ACUACULTOR
0302050003031,A03,A0302050003,0302050003031,TECNICOS ACUACULTORES
0302050003033,A03,A0302050003,0302050003033,ASISTENTE DE BIOLOGO ACUICOLA
0302050003036,A03,A0302050003,0302050003036,TRABAJADOR ACUÍCOLA 
0304151200001,A03,A0304151200,0304151200001,JEFE DE FLOTA
0304151200004,A03,A0304151200,0304151200004,SUPERVISOR 
0304151200005,A03,A0304151200,0304151200005,LABORATORISTA
0304151200012,A03,A0304151200,0304151200012,ASISTENTE DE SUPERVISOR
0304151200013,A03,A0304151200,0304151200013,AUXILIAR DE LABORATORIO
0403000000013,A04,A0403000000,0403000000013,"SUPERVISOR DE SALUD, SEGURIDAD, AMBIENTE Y CALIDAD MINAS/CANTERAS/YAC"
0403000000014,A04,A0403000000,0403000000014,TECNICO DE OPERACIONES MINAS/CANTERAS/YACIMIENTOS
0403000000015,A04,A0403000000,0403000000015,JEFE DE MINAS/CANTERAS
0403000000016,A04,A0403000000,0403000000016,JEFE DE PLANTA MINAS/CANTERAS/YACIMIENTOS
0403000000017,A04,A0403000000,0403000000017,JEFE DE CAMPO MINAS/CANTERAS/YACIMIENTOS
0403000000018,A04,A0403000000,0403000000018,JEFE DE FACILIDADES Y CONSTRUCCIÓN
0403000000019,A04,A0403000000,0403000000019,RELACIONADOR  COMUNITARIO  MINAS/CANTERAS/YACIMIENTOS
0403000000020,A04,A0403000000,0403000000020,ARMADOR  DE MONTAJES INDUSTRIALES MINAS/CANTERAS/YACIMIENTOS
0403000000021,A04,A0403000000,0403000000021,JEFE DE RELACIONES COMUNITARIAS MINAS / CANTERAS /YACIMIENTOS 
0403000000022,A04,A0403000000,0403000000022,JEFE DE OPERACIONES MINAS/CANTERAS/YACIMIENTOS
0403000000023,A04,A0403000000,0403000000023,INGENIERO DE FACILIDADES Y CONSTRUCCIÓN MINAS/CANTERAS/YACIMIENTOS
0403000000024,A04,A0403000000,0403000000024,INGENIERO DE MANTENIMIENTO MINAS/CANTERAS/YACIMIENTOS
0403000000025,A04,A0403000000,0403000000025,INGENIERO DE PROYECTOS MINAS/CANTERAS/YACIMIENTOS
0403000000026,A04,A0403000000,0403000000026,INGENERIO DE OPERACIONES MINAS/CANTERAS/YACIMIENTOS
0403000000027,A04,A0403000000,0403000000027,SUPERVISOR DE FACILIDADES Y CONSTRUCCIÓN MINAS/CANTERAS/YACIMIENTOS
0403111000057,A04,A0403111000,0403111000057,SUPERVISOR DE OPERACIONES
0403111000059,A04,A0403111000,0403111000059,SUPERVISOR DE MANTENIMIENTO
0403111000060,A04,A0403111000,0403111000060,"SUPERVISOR DE SALUD, SEGURIDAD, AMBIENTE Y CALIDAD PETRÓLEO CRUD"
0403111000061,A04,A0403111000,0403111000061,TÉCNICO DE OPERACIONES
0403111000070,A04,A0403111000,0403111000070,LABORATORISTA 
0403111000098,A04,A0403111000,0403111000098,AYUDANTE DE OPERACIONES
0403132000006,A04,A0403132000,0403132000006,JEFE DE FUNDICION
0403132000007,A04,A0403132000,0403132000007,JEFE DE MANTENIMIENTO
0403132000008,A04,A0403132000,0403132000008,JEFE DE PERFORACION
0403132000009,A04,A0403132000,0403132000009,"JEFE DE PLANTA PETROLEO, CRUDO Y GAS NATURAL Y SUS DERIVADOS"
0403132000010,A04,A0403132000,0403132000010,JEFE DE REFINACION
0403132000011,A04,A0403132000,0403132000011,JEFE DE RIELEROS
0403132000012,A04,A0403132000,0403132000012,JEFE DE TALLER DE TORNOS
0403132000017,A04,A0403132000,0403132000017,ENTIBADOR
0403132000026,A04,A0403132000,0403132000026,RIELEROS
0403132000027,A04,A0403132000,0403132000027,TÉCNICO MANTENIMIENTO/EQUIPOS LIVIANOS
0403132000028,A04,A0403132000,0403132000028,TOPOGRAFO
0403132000032,A04,A0403132000,0403132000032,DESPACHADOR DE COMBUSTIBLES
0403132000033,A04,A0403132000,0403132000033,ASISTENTE DE GEOLOGO
0403132000034,A04,A0403132000,0403132000034,AYUDANTE DE MINAS/CANTERAS
0403132000036,A04,A0403132000,0403132000036,AYUDANTE  DE PERFORACION
0403132000051,A04,A0403132000,0403132000051,AYUDANTE DE TOPOGRAFO
0403132000052,A04,A0403132000,0403132000052,COMPRESORISTA
0403132000054,A04,A0403132000,0403132000054,TRABAJADOR CAMPO
0410000000002,A04,A0410000000,0410000000002,JEFE DE CAMPO
0410000000005,A04,A0410000000,0410000000005,COORDINADOR LOGÍSTICO DE TRANSPORTE
0410000000013,A04,A0410000000,0410000000013,DISPARADORES (OPERADOR DE BLASTER)
0410000000038,A04,A0410000000,0410000000038,CAMPAMENTERO
0420000000014,A04,A0420000000,0420000000014,INGENIERO DE PERFORACIÓN
0420000000018,A04,A0420000000,0420000000018,RELACIONADOR  COMUNITARIO
0420000000019,A04,A0420000000,0420000000019,ASISTENTE DE LABORATORIO
0420000000020,A04,A0420000000,0420000000020,"ASISTENTE SALUD, SEGURIDAD, AMBIENTE, SALUD"
0420000000040,A04,A0420000000,0420000000040,ACEITERO
0420000000041,A04,A0420000000,0420000000041,ARMADOR DE MONTAJES INDUSTRIALES
0420000000045,A04,A0420000000,0420000000045,TÉCNICO DE MANTENIMIENTO/EQUIPOS PESADOS
0430000000011,A04,A0430000000,0430000000011,INSPECTOR DE HIDROCARBUROS
0430000000012,A04,A0430000000,0430000000012,INSPECTOR DE OLEODUCTOS
0430000000013,A04,A0430000000,0430000000013,JEFE DE YACIMIENTOS / RESERVORIOS
0430000000014,A04,A0430000000,0430000000014,"JEFE DE RELACIONES COMUNITARIAS PETRÓLEO, CRUDO Y GAS NATURAL Y SUS "
0430000000015,A04,A0430000000,0430000000015,"JEFE DE OPERACIONES PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIVADOS"
0430000000016,A04,A0430000000,0430000000016,RESPONSABLE DE DISCIPLINA
0430000000017,A04,A0430000000,0430000000017,INGENIERO DE YACIMIENTOS/RESEVORIOS
0430000000018,A04,A0430000000,0430000000018,INGENIERO PETROFÍSICO
0430000000019,A04,A0430000000,0430000000019,"INGENIERO DE FACILIDADES Y CONSTRUCCIÓN PETRÓLEO, CRUDO Y GAS NATUR"
0430000000020,A04,A0430000000,0430000000020,"INGENIERO DE MANTENIMIENTO PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIV"
0430000000021,A04,A0430000000,0430000000021,"INGENIERO DE PROYECTOS PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIVADO"
0430000000022,A04,A0430000000,0430000000022,"INGENERIO DE OPERACIONES PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIVAD"
0430000000023,A04,A0430000000,0430000000023,"SUPERVISOR DE FACILIDADES Y CONSTRUCCIÓN PETRÓLEO, CRUDO Y GAS NATU"
0430000000024,A04,A0430000000,0430000000024,"SUPERVISOR DE PROYECTOS PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIVAD"
0430000000025,A04,A0430000000,0430000000025,"SUPERVISOR RELACIONES COMUNITARIAS PETRÓLEO, CRUDO Y GAS NATURAL Y "
0430000000026,A04,A0430000000,0430000000026,"ESPECIALISTA DE EXPLOSIVOS PETRÓLEO, CRUDO Y GAS NATURAL Y SUS DERIVA"
0430000000027,A04,A0430000000,0430000000027,OPERADOR DE  OPERACIONES/PETRÓLEO
0430000000028,A04,A0430000000,0430000000028,SUPERVISOR DE PROYECTOS MINAS/CANTERAS/YACIMIENTOS
0430000000029,A04,A0430000000,0430000000029,SUPERVISOR RELACIONES COMUNITARIAS MINAS/CANTERAS/YACIMIENTOS
0430000000030,A04,A0430000000,0430000000030,ESPECIALISTA DE EXPLOSIVOS MINAS/CANTERAS/YACIMIENTOS
0430000000031,A04,A0430000000,0430000000031,JEFE DE GEOLOGÍA
0430000000032,A04,A0430000000,0430000000032,"JEFE DE SEGURIDAD, SALUD, AMBIENTE Y CALIDAD"
0430000000033,A04,A0430000000,0430000000033,ESPECIALISTA DE GEOLOGIA
0430000000034,A04,A0430000000,0430000000034,ESPECIALISTA DE PERFORACIÓN
0430000000035,A04,A0430000000,0430000000035,ESPECIALISTA DE MINAS/CANTERAS
0430000000036,A04,A0430000000,0430000000036,OPERADOR DE MINAS/CANTERAS
0430000000037,A04,A0430000000,0430000000037,SOLDADOR MIXTO
0430000000038,A04,A0430000000,0430000000038,SOLDADOR
0430000000039,A04,A0430000000,0430000000039,"TÉCNICO SALUD, SEGURIDAD, AMBIENTE Y CALIDAD"
0430000000040,A04,A0430000000,0430000000040,AYUDANTE DE SUELDA
0430000000041,A04,A0430000000,0430000000041,LÍDER DE CUADRILLA
0430000000042,A04,A0430000000,0430000000042,AYUDANTE DE MANTENIMIENTO
0430000000043,A04,A0430000000,0430000000043,AYUDANTE DE FACILIDADES Y CONSTRUCCIÓN
0430000000044,A04,A0430000000,0430000000044,AUXILIAR DE RELACIONES COMUNITARIAS
0430000000045,A04,A0430000000,0430000000045,"AUXILIAR DE SERVICIOS RELACIONADOS CON LA MINERÍA, CANTERAS Y YACIMIEN"
0430000000046,A04,A0430000000,0430000000046,SUPERVISOR DE   OPERACIONES MINAS/CANTERAS/YACIMIENTOS
0430000000047,A04,A0430000000,0430000000047,SUPERVISOR DE MANTENIMIENTO MINAS/CANTERAS/YACIMIENTOS
0504151100221,A05,A0504151100,0504151100221,JEFE DE COMERCIALIZACIÓN
0504151100222,A05,A0504151100,0504151100222,JEFE DE PLANTA
0504151100228,A05,A0504151100,0504151100228,OPERADOR DE SIERRA 
0504151100231,A05,A0504151100,0504151100231,COCINEROS DE PRODUCCION
0504151100235,A05,A0504151100,0504151100235,AUXILIAR DE CAMARA DE FRIGORIFICO
0504151100237,A05,A0504151100,0504151100237,CLASIFICADOR DE CARNES
0504151100239,A05,A0504151100,0504151100239,PESADOR
0504151100244,A05,A0504151100,0504151100244,CORTADOR
0504151100245,A05,A0504151100,0504151100245,DISTRIBUIDOR / CLASIFICADOR
0504151101202,A05,A0504151101,0504151101202,JEFE DE COMERCIALIZACIÓN
0504151101203,A05,A0504151101,0504151101203,JEFE DE PLANTA
0504151101209,A05,A0504151101,0504151101209,MECANICO DE EQUIPOS INDUSTRIALES
