id,code,name
A0820000001,A0820000001,"MRL-NUEVOS CARGOS-FABRICACIÓN DE CUCHILLERÍA, HERRAMIENNTAS MANU"
A0830000000,A0830000000,MRL-RESTO DE RAMAS (CIIU:30000000)
A0830000001,A0830000001,"MRL-NUEVOS CARGOS-FABRICACIÓN DE CUCHILLERÍA, HERRAMIENNTAS MANU"
A0904202921,A0904202921,ELABORACIÓN DE PRODUCTOS DE FIBRAS NATURALES
A0920000000,A0920000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A0920030000,A0920030000,ELABORACIÓN DE JOYAS Y ARTÍCULOS CONEXOS
A0920030001,A0920030001,FABRICACIÓN ARTESANAL DE MUEBLES Y ACCESORIOS DE MADERA
A0920030002,A0920030002,"FABRICACION DE PRODUCTOS ARTESANALES, HILADO, TEJIDO Y ACABADOS "
A1004172300,A1004172300,INDUSTRIA DE CORDELERÍA
A1004182000,A1004182000,CURTIEMBRES Y TENERÍAS
A1004182001,A1004182001,"FABRICACION DE CALZADO, CARTERAS, PRENDAS, DE VESTIR, CINTURONES"
A1004182009,A1004182009,FABRICACIÓN DE ALFOMBRAS
A1004243002,A1004243002,"FABRICACION DE PRODUCTOS TEXTILES, HILADO, TEJIDO Y ACABADO DE P"
A1004261023,A1004261023,FABRICACIÓN DE COLCHONES
A1004292603,A1004292603,"FABRICACIÓN DE TEJIDOS DE PUNTO, CONFECCIÓN DE PRENDAS DE VESTIR"
A1004369911,A1004369911,FABRICACIÓN DE BOTONES Y SEMIELABORADOS DE BOTONES
A1004369912,A1004369912,FABRICACIÓN DE CIERRES
A1010000007,A1010000007,"MRL-NUEVOS CARGOS-FABRICACIÓN DE HILADO, TEJIDO (PUNTO/PLANO) Y "
A1010000008,A1010000008,MRL-NUEVOS CARGOS-INDUSTRIA DE CORDELERÍA
A1020000000,A1020000000,MRL-NUEVOS CARGOS-CONFECCIÓN DE PRENDAS DE VESTIR Y OTRAS MANUFA
A1020000003,A1020000003,MRL-NUEVOS CARGOS- FABRICACIÓN DE ALFOMBRAS
A1020000004,A1020000004,"MRL-NUEVOS CARGOS-FABRICACIÓN DE BOTONES, BROCHES DE PRESIÓN Y C"
A1020000005,A1020000005,"MRL-NUEVOS CARGOS-FABRICACIÓN DE CALZADO, CARTERAS, PRENDAS DE V"
A1020000006,A1020000006,MRL-NUEVOS CARGOS-FABRICACIÓN DE COLCHONES
A1020000007,A1020000007,"MRL-NUEVOS CARGOS-FABRICACIÓN DE HILADO, TEJIDO (PUNTO/PLANO) Y "
A1020000008,A1020000008,MRL-NUEVOS CARGOS-INDUSTRIA DE CORDELERÍA
A1104341001,A1104341001,"ENSAMBLAJE DE AUTOMOTORES, FABRICACIÓN DE SUS PARTES  Y PIEZAS"
A1107502000,A1107502000,TALLERES DE REPARACION Y MANTENIMIENTO  DE AUTOMOTORES
A1110000000,A1110000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A1120000000,A1120000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A1130000000,A1130000000,MRL-TODAS LAS RAMAS (CIIU:30000000)
A1209642000,A1209642000,TÉCNICOS EN TELECOMUNICACIONES
A1210000000,A1210000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A1220000000,A1220000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A1220030000,A1220030000,ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS DE COMPUTACIÓN Y ELECTRÓNI
A1220030001,A1220030001,ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS DE COMPUTACIÓN Y ELECTRÓNI
A1220030002,A1220030002,ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS DE COMPUTACIÓN Y ELECTRÓNI
A1230000000,A1230000000,MRL-TODAS LAS RAMAS (CIIU:30000000)
A1305401000,A1305401000,ELECTRICIDAD
A1310000000,A1310000000,"MRL-PRODUCCIÓN DE GAS, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE COMBUS"
A1320000000,A1320000000,"MRL-PRODUCCIÓN DE GAS, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE COMBUS"
A1330000000,A1330000000,"MRL-PRODUCCIÓN DE GAS, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE COMBUS"
A1404269909,A1404269909,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS (PRODUCTOS
A1406452000,A1406452000,CONSTRUCCIÓN Y SERVICIOS TÉCNICOS Y ARQUITECTÓNICOS
A1406455000,A1406455000,"OPERADORES Y MECÁNICOS DE EQUIPO PESADO Y CAMINERO, DE EXCAVACIÓ"
A1410000000,A1410000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A1420000000,A1420000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A1430000000,A1430000000,MRL-TODAS LAS RAMAS (CIIU:30000000)
A1507500000,A1507500000,COMERCIO AL POR MAYOR Y MENOR
A1510000000,A1510000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A1520000000,A1520000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A1608551004,A1608551004,"ESTABLECIMIENTOS QUE PRESTAN SERVICIOS DE ALOJAMIENTO TURÍSTICO,"
A1608552002,A1608552002,ESTABLECIMIENTOS QUE PRESTAN SERVICIOS DE COMIDAS Y BEBIDAS.
A1608552090,A1608552090,SERVICIOS DE ALIMENTACIÓN: ABASTECIMIENTO DE COMIDA POR ENCARGO
A1609630401,A1609630401,AGENCIAS DE VIAJES Y TURISMO
A1615923300,A1615923300,TRABAJADORES DE PARQUES NACIONALES Y ÁREAS NATURALES
A1709602300,A1709602300,OPERADORES Y MECÁNICOS DE EQUIPO PESADO EN ACTIVIDADES AGRÍCOLAS
A1709610000,A1709610000,"TRÁFICO FLUVIAL, COSTANERO E INTERNACIONAL"
A1709621000,A1709621000,"EMPRESAS DE TRANSPORTE AÉREO, EN LOS SECTORES DE: TRIPULACIÓN, O"
A1709630102,A1709630102,PROCESOS DE EMBARQUE Y DESEMBARQUE DE FRUTAS EN BUQUES DE ALTO B
A1709630100,A1709630100,"ESTIBA DE CAFÉ, CACAO Y OTROS PRODUCTOS DESTINADOS A LA EXPORTAC"
A1709630101,A1709630101,SISTEMA PORTUARIO ECUATORIANO CODG 706 - 702: RECINTOS PORTUARIO
A1710600000,A1710600000,"MRL-EMPRESAS DE TRANSPORTE AÉREO, EN SERVICIO REGULAR,  NO REGUL"
A1716950000,A1716950000,CHOFERES PROFESIONALES
A1716950001,A1716950001,MRL-CHOFERES/CONDUCTORES
A1716950002,A1716950002,MRL-CHOFERES/CONDUCTORES
A1716950003,A1716950003,MRL-CHOFERES/CONDUCTORES
A1716950004,A1716950004,MRL-CHOFERES/CONDUCTORES
A1716950005,A1716950005,MRL-CHOFERES/CONDUCTORES
A1716950006,A1716950006,MRL-CHOFERES/CONDUCTORES
A1716950007,A1716950007,MRL-CHOFERES/CONDUCTORES
A1716950008,A1716950008,MRL-CHOFERES/CONDUCTORES
A1716950009,A1716950009,MRL-CHOFERES/CONDUCTORES
A1716950010,A1716950010,MRL-CHOFERES/CONDUCTORES
A1716950011,A1716950011,MRL-CHOFERES/CONDUCTORES
A1716950012,A1716950012,MRL-CHOFERES/CONDUCTORES
A1720000000,A1720000000,MRL-NUEVOS CARGOS-OPERADORES Y MECÁNICOS DE EQUIPO PESADO EN ACT
A1720000005,A1720000005,"MRL-OTRAS ACTIVIDADES RELACIONADAS CON TRASPORTE, LOGÍSTICA Y AL"
A1720000008,A1720000008,PROCESOS DE EMBARQUE Y DESEMBARQUE DE FRUTAS EN BUQUES DE ALTO A
A1720600000,A1720600000,"MRL-EMPRESAS DE TRANSPORTE AÉREO, EN SERVICIO REGULAR,  NO REGUL"
A1730000005,A1730000005,"MRL-OTRAS ACTIVIDADES RELACIONADAS CON TRASPORTE, LOGÍSTICA Y AL"
A1730600000,A1730600000,"MRL-EMPRESAS DE TRANSPORTE AÉREO, EN SERVICIO REGULAR,  NO REGUL"
A1810000000,A1810000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A1811749900,A1811749900,BANCOS PRIVADOS
A1910000000,A1910000000,MRL-RESTO DE RAMAS (CIIU:10000000)
A1911730000,A1911730000,PROFESIONALES EN GENERAL
A1911740000,A1911740000,"SERVICIOS EN GENERAL: CONSERJERÍA, PORTERÍA, LIMPIEZA, LAVANDERÍ"
A1918200001,A1918200001,SERVICIOS EN GENERAL/TRABAJADOR EN GENERAL
A1918200000,A1918200000,PROFESIONALES EN GENERAL/GERENTE GENERAL
A1920000000,A1920000000,MRL-RESTO DE RAMAS (CIIU:20000000)
A1930000000,A1930000000,MRL-RESTO DE RAMAS (CIIU:30000000)
A2010000001,A2010000001,MRL-NUEVOS CARGOS-ENSEÑANZA A NIVEL BACHILLERATO
A2010000002,A2010000002,MRL-NUEVOS CARGOS-ENSEÑANZA SUPERIOR
A2013801000,A2013801000,PERSONAL DE ESTABLECIMIENTOS PARTICULARES DE EDUCACIÓN INICIAL (
A2013801001,A2013801001,PERSONAL DE ESTABLECIMIENTOS PARTICULARES DE NIVELES: BÁSICO
A2013802000,A2013802000,PERSONAL DE ESTABLECIMIENTOS PARTICULARES DE NIVELES: BACHILLERA
A2013803001,A2013803001,PERSONAL DE ESTABLECIMIENTOS PARTICULARES DE NIVELES: SUPERIOR
A2020000000,A2020000000,MRL-NUEVOS CARGOS-CENTROS DE DESARROLLO INFANTIL
A2020000001,A2020000001,MRL-OTROS TIPOS DE ENSEÑANZA
A2020000003,A2020000003,MRL-OTROS TIPOS DE ENSEÑANZA
A2030000000,A2030000000,MRL-NUEVOS CARGOS-ENSEÑANZA A NIVEL BACHILLERATO
A2030000001,A2030000001,MRL-OTROS TIPOS DE ENSEÑANZA
A2110000000,A2110000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A2114851101,A2114851101,"HOSPITALES, SANATORIOS, CLÍNICAS, CONSULTORIOS, LABORATORIOS Y O"
A2120000000,A2120000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A2210000000,A2210000000,MRL-RESTO DE RAMAS (CIIU:10000000)
A2211749402,A2211749402,ESTUDIOS Y LABORATORIOS FOTOGRÁFICOS
A2211749409,A2211749409,PRODUCTORES DE FONOGRAMAS
A2215921300,A2215921300,ESTACIONES DE RADIO
A2215921309,A2215921309,ESTACIONES DE TELEVISIÓN Y EMPRESAS PRODUCTORAS
A2215921400,A2215921400,TEATROS Y CINES
A2215921401,A2215921401,ARTISTAS PROFESIONALES
A2215922000,A2215922000,PERIODISTAS
A2220000000,A2220000000,MRL-RESTO DE RAMAS (CIIU:20000000)
A2220000001,A2220000001,"MRL-NUEVOS CARGOS- ACTIVIDADES DE CINEMATOGRAFIA, RADIO Y TELEVI"
A2230000000,A2230000000,MRL-RESTO DE RAMAS (CIIU:30000000)
A2230000001,A2230000001,"MRL-NUEVOS CARGOS- ACTIVIDADES DE CINEMATOGRAFIA, RADIO Y TELEVI"
